['you look fat', '太っ--動 て--助 見える--動 よ--助']
['youll be ok', '大丈夫--名 だ--助 よ--助']
['youre lucky', '君たち--名 、--記 ラッキー--名 だ--助 なあ--助']
['youre lying', '嘘--名 つけ--名']
['youre lying', '嘘--名 おっしゃい--動']
['youre lying', '嘘--名 つけ--名']
['youre right', 'あなた--名 は--助 正しい--形']
['youre right', 'おっしゃる--動 通り--名 です--助']
['youre weird', 'おまえ--名 、--記 変わっ--動 てる--動 な--助']
['youre weird', 'あんた--名 変--名 だ--助 よ--助']
['youre young', '若い--形 なあ--助']
['zip your lip', 'お--接 口--名 チャック--名 し--動 て--助 ください--動']
['zip your lip', '口--名 チャック--名 し--動 て--助']
['air the futon', '蒲団--名 を--助 干し--動 て--助 下さい--動']
['any questions', '質問--名 は--助 あり--動 ます--助 か--助']
['anything else', '他--名 に--助 何--名 か--助 あり--動 ます--助 か--助']
['are you angry', '怒っ--動 てる--動 の--助']
['are you awake', '起き--動 てる--動']
['are you crazy', '気--名 は--助 確か--名 か--助']
['are you crazy', '気--名 は--助 確か--名 かい--助']
['are you happy', 'あなた--名 は--助 幸せ--名 です--助 か--助']
['are you ready', '用意--名 は--助 いい--形 かい--助']
['are you ready', '準備--名 でき--動 てる--動']
['are you ready', '準備--名 は--助 でき--動 まし--助 た--助 か--助']
['are you tired', '疲れ--動 た--助']
['are you tired', '疲れ--動 ちゃっ--動 た--助 の--助']
['are you twins', 'あなた--名 がた--名 は--助 双子--名 です--助 か--助']
['ask tom again', 'もう--副 一--名 回--名 トム--名 に--助 訊い--動 て--助 み--動 て--助']
['beat the eggs', '卵--名 を--助 よく--副 かき混ぜ--動 ます--助']
['beware of dog', '猛犬--名 注意--名']
['boys run fast', '男の子--名 達--名 は--助 速く--形 走る--動']
['call me later', '後で--副 電話--名 し--動 て--助']
['call me later', 'あと--名 で--助 電話--名 ちょうだい--名']
['call the cops', '警察--名 を--助 呼ん--動 で--助']
['can i ask why', '理由--名 聞い--動 て--助 も--助 いい--形']
['can i come in', '入っ--動 て--助 も--助 いい--形 です--助 か--助']
